2024-08-22 21:34:55,070 - INFO - A new study created in memory with name: no-name-4bd02a01-23d6-4be9-825b-378438a65866
2024-08-22 23:32:03,675 - INFO - Trial 0 finished with value: 5.458833333333334 and parameters: {'window_size': 2, 'horizon': 4, 'batch_size': 64, 'lr': 0.078187026626428, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 3, 'dropout': 0.36263019902716814, 'scheduler_step_size': 2, 'scheduler_gamma': 0.7727614977237559}. Best is trial 0 with value: 5.458833333333334.
2024-08-23 06:07:41,849 - INFO - Trial 1 finished with value: 11.959083333333332 and parameters: {'window_size': 2, 'horizon': 24, 'batch_size': 64, 'lr': 0.0010154043076757153, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.11575093486524768, 'scheduler_step_size': 3, 'scheduler_gamma': 0.5888045266532753}. Best is trial 0 with value: 5.458833333333334.
2024-08-23 06:13:05,058 - INFO - Trial 2 finished with value: 11.669083333333331 and parameters: {'window_size': 2, 'horizon': 24, 'batch_size': 32, 'lr': 0.004142999711279384, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.2661563681396758, 'scheduler_step_size': 3, 'scheduler_gamma': 0.8099607028552507}. Best is trial 0 with value: 5.458833333333334.
2024-08-23 06:29:48,166 - INFO - Trial 3 finished with value: 1.0634166666666667 and parameters: {'window_size': 4, 'horizon': 12, 'batch_size': 128, 'lr': 1.852830467408532e-05, 'epochs': 10, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 3, 'dropout': 0.11525175616960526, 'scheduler_step_size': 1, 'scheduler_gamma': 0.5566920482750154}. Best is trial 3 with value: 1.0634166666666667.
2024-08-23 07:33:20,388 - INFO - Trial 4 finished with value: 1.7245833333333336 and parameters: {'window_size': 16, 'horizon': 12, 'batch_size': 64, 'lr': 0.0003245596092303513, 'epochs': 10, 'model_type': 'gru', 'hidden_dim': 128, 'num_layers': 3, 'dropout': 0.009604037159302137, 'scheduler_step_size': 3, 'scheduler_gamma': 0.1709235463539877}. Best is trial 3 with value: 1.0634166666666667.
2024-08-23 07:39:06,877 - INFO - Trial 5 finished with value: 1.610166666666667 and parameters: {'window_size': 4, 'horizon': 8, 'batch_size': 64, 'lr': 2.872852062508855e-05, 'epochs': 5, 'model_type': 'lstm', 'hidden_dim': 64, 'num_layers': 1, 'dropout': 0.49655284642338426, 'scheduler_step_size': 8, 'scheduler_gamma': 0.3248665530552458}. Best is trial 3 with value: 1.0634166666666667.
2024-08-23 07:43:46,780 - INFO - Trial 6 finished with value: 0.9928333333333335 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 128, 'lr': 0.005952721434338985, 'epochs': 5, 'model_type': 'lstm', 'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.16918370119445791, 'scheduler_step_size': 1, 'scheduler_gamma': 0.7391468996589924}. Best is trial 6 with value: 0.9928333333333335.
2024-08-23 07:53:47,475 - INFO - Trial 7 finished with value: 7.064583333333332 and parameters: {'window_size': 2, 'horizon': 24, 'batch_size': 32, 'lr': 0.026844133955986168, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 64, 'num_layers': 3, 'dropout': 0.42584025108167844, 'scheduler_step_size': 9, 'scheduler_gamma': 0.3252793336277886}. Best is trial 6 with value: 0.9928333333333335.
2024-08-23 09:02:47,475 - INFO - Trial 8 finished with value: 2.5159166666666666 and parameters: {'window_size': 2, 'horizon': 4, 'batch_size': 32, 'lr': 4.762145742436289e-05, 'epochs': 20, 'model_type': 'gru', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.3765937876339907, 'scheduler_step_size': 1, 'scheduler_gamma': 0.46574890635585486}. Best is trial 6 with value: 0.9928333333333335.
2024-08-23 10:08:20,299 - INFO - Trial 9 finished with value: 5.9694166666666675 and parameters: {'window_size': 8, 'horizon': 24, 'batch_size': 64, 'lr': 0.03951911530232469, 'epochs': 20, 'model_type': 'lstm', 'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.1093477491742103, 'scheduler_step_size': 8, 'scheduler_gamma': 0.8654759610486654}. Best is trial 6 with value: 0.9928333333333335.
2024-08-23 10:11:57,720 - INFO - Trial 10 finished with value: 1.2334166666666666 and parameters: {'window_size': 16, 'horizon': 4, 'batch_size': 128, 'lr': 0.006313931905055526, 'epochs': 5, 'model_type': 'lstm', 'hidden_dim': 256, 'num_layers': 2, 'dropout': 0.23470796466500354, 'scheduler_step_size': 5, 'scheduler_gamma': 0.6893405592685979}. Best is trial 6 with value: 0.9928333333333335.
