2024-08-25 12:02:48,984 - INFO - A new study created in memory with name: no-name-537d7146-4b75-40d0-83e0-7c0be3ca6480
2024-08-25 12:23:54,620 - INFO - Trial 0 finished with value: 2.999416666666667 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 32, 'lr': 0.007737274632480271, 'epochs': 20, 'model_type': 'lstm', 'hidden_dim': 128, 'num_layers': 3, 'dropout': 0.4296425611687054, 'scheduler_step_size': 5, 'scheduler_gamma': 0.5406809073731573}. Best is trial 0 with value: 2.999416666666667.
2024-08-25 12:28:51,971 - INFO - Trial 1 finished with value: 1.6974999999999998 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 128, 'lr': 0.008413721152796476, 'epochs': 20, 'model_type': 'lstm', 'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.1071945616190857, 'scheduler_step_size': 1, 'scheduler_gamma': 0.8228279757665059}. Best is trial 1 with value: 1.6974999999999998.
2024-08-25 12:36:08,714 - INFO - Trial 2 finished with value: 1.3866666666666667 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 64, 'lr': 0.0001692266325495186, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.32408453452297686, 'scheduler_step_size': 7, 'scheduler_gamma': 0.7949161887730639}. Best is trial 2 with value: 1.3866666666666667.
2024-08-25 12:38:42,337 - INFO - Trial 3 finished with value: 0.8468333333333332 and parameters: {'window_size': 4, 'horizon': 8, 'batch_size': 128, 'lr': 0.0005006678751734409, 'epochs': 5, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.08837641455892764, 'scheduler_step_size': 1, 'scheduler_gamma': 0.8785147437942873}. Best is trial 3 with value: 0.8468333333333332.
2024-08-25 12:51:12,409 - INFO - Trial 4 finished with value: 2.4219999999999993 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 32, 'lr': 0.0005987910039556637, 'epochs': 5, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 3, 'dropout': 0.26545070801542414, 'scheduler_step_size': 6, 'scheduler_gamma': 0.7841229304668901}. Best is trial 3 with value: 0.8468333333333332.
2024-08-25 13:13:55,506 - INFO - Trial 5 finished with value: 1.2815833333333335 and parameters: {'window_size': 8, 'horizon': 8, 'batch_size': 64, 'lr': 0.00035719950276389523, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.4401943085049854, 'scheduler_step_size': 9, 'scheduler_gamma': 0.616654825487337}. Best is trial 3 with value: 0.8468333333333332.
2024-08-25 13:28:36,846 - INFO - Trial 6 finished with value: 5.056666666666667 and parameters: {'window_size': 4, 'horizon': 8, 'batch_size': 32, 'lr': 0.08757873218303197, 'epochs': 20, 'model_type': 'lstm', 'hidden_dim': 128, 'num_layers': 3, 'dropout': 0.4809202530728062, 'scheduler_step_size': 6, 'scheduler_gamma': 0.8443511957661437}. Best is trial 3 with value: 0.8468333333333332.
2024-08-25 13:41:21,528 - INFO - Trial 7 finished with value: 10.547666666666666 and parameters: {'window_size': 4, 'horizon': 8, 'batch_size': 32, 'lr': 0.006774233762300755, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.005450967679811791, 'scheduler_step_size': 3, 'scheduler_gamma': 0.8991371691817335}. Best is trial 3 with value: 0.8468333333333332.
2024-08-25 13:43:46,108 - INFO - Trial 8 finished with value: 1.2341666666666666 and parameters: {'window_size': 4, 'horizon': 8, 'batch_size': 128, 'lr': 1.1393929326668663e-05, 'epochs': 5, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.389817397463673, 'scheduler_step_size': 1, 'scheduler_gamma': 0.8198794482818722}. Best is trial 3 with value: 0.8468333333333332.
2024-08-25 13:59:51,415 - INFO - Trial 9 finished with value: 2.2231666666666663 and parameters: {'window_size': 2, 'horizon': 8, 'batch_size': 64, 'lr': 2.0155163966352464e-05, 'epochs': 20, 'model_type': 'lstm', 'hidden_dim': 128, 'num_layers': 3, 'dropout': 0.1629090608510616, 'scheduler_step_size': 8, 'scheduler_gamma': 0.45230246996049184}. Best is trial 3 with value: 0.8468333333333332.
2024-08-25 14:03:58,116 - INFO - Trial 10 finished with value: 0.6321666666666668 and parameters: {'window_size': 16, 'horizon': 8, 'batch_size': 128, 'lr': 6.245861811821832e-05, 'epochs': 5, 'model_type': 'lstm', 'hidden_dim': 256, 'num_layers': 1, 'dropout': 0.0031783950229795632, 'scheduler_step_size': 3, 'scheduler_gamma': 0.19531705290287166}. Best is trial 10 with value: 0.6321666666666668.
