2024-08-27 14:52:46,370 - INFO - A new study created in memory with name: no-name-a341abe2-7ee3-4510-a81e-2bda93a37043
2024-08-27 14:55:04,765 - INFO - Trial 0 finished with value: 1.6194166666666667 and parameters: {'window_size': 20, 'horizon': 24, 'batch_size': 128, 'lr': 0.0024354991977897154, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.1695862224558352, 'scheduler_step_size': 6, 'scheduler_gamma': 0.2430593114347911}. Best is trial 0 with value: 1.6194166666666667.
2024-08-27 14:56:47,464 - INFO - Trial 1 finished with value: 1.8893333333333338 and parameters: {'window_size': 24, 'horizon': 24, 'batch_size': 128, 'lr': 1.8472735202950716e-05, 'epochs': 5, 'model_type': 'lstm', 'hidden_dim': 256, 'num_layers': 1, 'dropout': 0.30472400198576494, 'scheduler_step_size': 1, 'scheduler_gamma': 0.6282491004389896}. Best is trial 0 with value: 1.6194166666666667.
2024-08-27 15:01:40,432 - INFO - Trial 2 finished with value: 3.1972500000000004 and parameters: {'window_size': 8, 'horizon': 24, 'batch_size': 64, 'lr': 0.006501526307352768, 'epochs': 20, 'model_type': 'lstm', 'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.37348426867842055, 'scheduler_step_size': 5, 'scheduler_gamma': 0.4039442684318577}. Best is trial 0 with value: 1.6194166666666667.
2024-08-27 15:10:12,373 - INFO - Trial 3 finished with value: 3.6629166666666673 and parameters: {'window_size': 12, 'horizon': 24, 'batch_size': 32, 'lr': 4.4418730130998454e-05, 'epochs': 5, 'model_type': 'lstm', 'hidden_dim': 64, 'num_layers': 3, 'dropout': 0.26447360393004693, 'scheduler_step_size': 5, 'scheduler_gamma': 0.49633049502599824}. Best is trial 0 with value: 1.6194166666666667.
2024-08-27 15:17:37,525 - INFO - Trial 4 finished with value: 4.40175 and parameters: {'window_size': 16, 'horizon': 24, 'batch_size': 32, 'lr': 0.0856317907261702, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.4851356802544515, 'scheduler_step_size': 5, 'scheduler_gamma': 0.33719365379850685}. Best is trial 0 with value: 1.6194166666666667.
2024-08-27 15:22:27,518 - INFO - Trial 5 finished with value: 5.063750000000001 and parameters: {'window_size': 16, 'horizon': 24, 'batch_size': 64, 'lr': 0.015527525147412437, 'epochs': 5, 'model_type': 'lstm', 'hidden_dim': 256, 'num_layers': 3, 'dropout': 0.18140399851786854, 'scheduler_step_size': 3, 'scheduler_gamma': 0.5026605437908507}. Best is trial 0 with value: 1.6194166666666667.
2024-08-27 15:34:27,501 - INFO - Trial 6 finished with value: 11.123750000000001 and parameters: {'window_size': 4, 'horizon': 24, 'batch_size': 32, 'lr': 0.00013759222191710822, 'epochs': 20, 'model_type': 'lstm', 'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.2529666857075608, 'scheduler_step_size': 3, 'scheduler_gamma': 0.12504526208357475}. Best is trial 0 with value: 1.6194166666666667.
2024-08-27 15:37:24,784 - INFO - Trial 7 finished with value: 1.17425 and parameters: {'window_size': 12, 'horizon': 24, 'batch_size': 128, 'lr': 0.000708137714804733, 'epochs': 20, 'model_type': 'lstm', 'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.27312623708199246, 'scheduler_step_size': 6, 'scheduler_gamma': 0.3561833522944825}. Best is trial 7 with value: 1.17425.
2024-08-27 15:39:57,424 - INFO - Trial 8 finished with value: 1.6568333333333332 and parameters: {'window_size': 8, 'horizon': 24, 'batch_size': 128, 'lr': 7.291062981007191e-05, 'epochs': 5, 'model_type': 'lstm', 'hidden_dim': 256, 'num_layers': 2, 'dropout': 0.1549792933078713, 'scheduler_step_size': 6, 'scheduler_gamma': 0.7197262953373016}. Best is trial 7 with value: 1.17425.
2024-08-27 15:42:34,757 - INFO - Trial 9 finished with value: 0.47908333333333325 and parameters: {'window_size': 20, 'horizon': 24, 'batch_size': 128, 'lr': 0.0006431340269869831, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 64, 'num_layers': 2, 'dropout': 0.31704753401482744, 'scheduler_step_size': 9, 'scheduler_gamma': 0.4698397479350721}. Best is trial 9 with value: 0.47908333333333325.
2024-08-27 15:46:01,148 - INFO - Trial 10 finished with value: 0.5503333333333333 and parameters: {'window_size': 20, 'horizon': 24, 'batch_size': 128, 'lr': 0.00046022018371012096, 'epochs': 10, 'model_type': 'lstm', 'hidden_dim': 64, 'num_layers': 3, 'dropout': 0.01796454884094567, 'scheduler_step_size': 9, 'scheduler_gamma': 0.8819586251861278}. Best is trial 9 with value: 0.47908333333333325.
